port,tcp,udp
885,filtrado,filtrado
886,filtrado,abierto|filtrado
887,filtrado,abierto|filtrado
888,filtrado,abierto|filtrado
889,filtrado,abierto|filtrado
890,filtrado,abierto|filtrado
891,filtrado,abierto|filtrado
892,filtrado,abierto|filtrado
893,filtrado,abierto|filtrado
894,filtrado,abierto|filtrado
895,filtrado,abierto|filtrado
896,filtrado,filtrado
897,filtrado,abierto|filtrado
898,filtrado,abierto|filtrado
899,filtrado,abierto|filtrado
900,filtrado,abierto|filtrado
901,filtrado,abierto|filtrado
902,filtrado,abierto|filtrado
903,filtrado,abierto|filtrado
904,filtrado,abierto|filtrado
905,filtrado,abierto|filtrado
906,filtrado,abierto|filtrado
907,filtrado,abierto|filtrado
908,filtrado,abierto|filtrado
909,filtrado,abierto|filtrado
910,filtrado,abierto|filtrado
911,None,abierto|filtrado
912,filtrado,abierto|filtrado
913,filtrado,abierto|filtrado
914,filtrado,filtrado
915,filtrado,abierto|filtrado
916,filtrado,abierto|filtrado
917,filtrado,abierto|filtrado
918,filtrado,abierto|filtrado
919,filtrado,abierto|filtrado
920,filtrado,abierto|filtrado
921,filtrado,abierto|filtrado
922,filtrado,abierto|filtrado
923,filtrado,abierto|filtrado
924,filtrado,abierto|filtrado
925,filtrado,abierto|filtrado
926,filtrado,abierto|filtrado
927,filtrado,abierto|filtrado
928,filtrado,abierto|filtrado
929,filtrado,abierto|filtrado
930,filtrado,abierto|filtrado
931,filtrado,abierto|filtrado
932,filtrado,abierto|filtrado
933,filtrado,abierto|filtrado
934,filtrado,abierto|filtrado
935,filtrado,abierto|filtrado
936,filtrado,abierto|filtrado
937,filtrado,abierto|filtrado
938,filtrado,abierto|filtrado
939,filtrado,abierto|filtrado
940,filtrado,filtrado
941,filtrado,abierto|filtrado
942,filtrado,abierto|filtrado
943,filtrado,abierto|filtrado
944,filtrado,abierto|filtrado
945,filtrado,abierto|filtrado
946,filtrado,abierto|filtrado
947,filtrado,abierto|filtrado
948,filtrado,abierto|filtrado
949,filtrado,abierto|filtrado
950,filtrado,abierto|filtrado
951,filtrado,abierto|filtrado
952,filtrado,abierto|filtrado
953,filtrado,abierto|filtrado
954,filtrado,abierto|filtrado
955,filtrado,abierto|filtrado
956,None,abierto|filtrado
957,filtrado,abierto|filtrado
958,filtrado,abierto|filtrado
959,filtrado,abierto|filtrado
960,filtrado,abierto|filtrado
961,filtrado,abierto|filtrado
962,filtrado,abierto|filtrado
963,filtrado,abierto|filtrado
964,filtrado,abierto|filtrado
965,filtrado,abierto|filtrado
966,filtrado,abierto|filtrado
967,None,abierto|filtrado
968,filtrado,abierto|filtrado
969,filtrado,filtrado
970,filtrado,abierto|filtrado
971,filtrado,abierto|filtrado
972,filtrado,abierto|filtrado
973,filtrado,abierto|filtrado
974,filtrado,filtrado
975,filtrado,abierto|filtrado
976,filtrado,abierto|filtrado
977,filtrado,abierto|filtrado
978,filtrado,abierto|filtrado
979,None,abierto|filtrado
980,filtrado,abierto|filtrado
981,None,abierto|filtrado
982,filtrado,abierto|filtrado
983,filtrado,abierto|filtrado
984,filtrado,abierto|filtrado
985,filtrado,abierto|filtrado
986,filtrado,abierto|filtrado
987,filtrado,abierto|filtrado
988,filtrado,abierto|filtrado
989,filtrado,abierto|filtrado
990,filtrado,abierto|filtrado
991,filtrado,abierto|filtrado
992,filtrado,abierto|filtrado
993,filtrado,abierto|filtrado
994,filtrado,abierto|filtrado
995,filtrado,abierto|filtrado
996,filtrado,abierto|filtrado
997,filtrado,abierto|filtrado
998,filtrado,abierto|filtrado
999,filtrado,abierto|filtrado
1000,filtrado,abierto|filtrado
1001,filtrado,abierto|filtrado
1002,filtrado,abierto|filtrado
1003,filtrado,abierto|filtrado
1004,filtrado,abierto|filtrado
1005,None,abierto|filtrado
1006,filtrado,abierto|filtrado
1007,filtrado,abierto|filtrado
1008,filtrado,abierto|filtrado
1009,filtrado,abierto|filtrado
1010,filtrado,abierto|filtrado
1011,filtrado,abierto|filtrado
1012,filtrado,abierto|filtrado
1013,filtrado,abierto|filtrado
1014,filtrado,filtrado
1015,filtrado,abierto|filtrado
1016,filtrado,abierto|filtrado
1017,filtrado,abierto|filtrado
1018,filtrado,abierto|filtrado
1019,filtrado,abierto|filtrado
1020,filtrado,abierto|filtrado
1021,filtrado,abierto|filtrado
1022,filtrado,abierto|filtrado
1023,filtrado,abierto|filtrado
1024,filtrado,filtrado
