port,tcp,udp
204,filtrado,abierto|filtrado
205,filtrado,abierto|filtrado
206,filtrado,abierto|filtrado
207,filtrado,abierto|filtrado
208,filtrado,abierto|filtrado
209,filtrado,abierto|filtrado
210,filtrado,abierto|filtrado
211,filtrado,abierto|filtrado
212,filtrado,filtrado
213,filtrado,abierto|filtrado
214,filtrado,abierto|filtrado
215,filtrado,abierto|filtrado
216,filtrado,abierto|filtrado
217,filtrado,abierto|filtrado
218,filtrado,abierto|filtrado
219,filtrado,abierto|filtrado
220,filtrado,abierto|filtrado
221,filtrado,abierto|filtrado
222,filtrado,abierto|filtrado
223,filtrado,abierto|filtrado
224,filtrado,filtrado
225,filtrado,abierto|filtrado
226,filtrado,abierto|filtrado
227,filtrado,abierto|filtrado
228,filtrado,abierto|filtrado
229,filtrado,abierto|filtrado
230,None,abierto|filtrado
231,filtrado,abierto|filtrado
232,filtrado,abierto|filtrado
233,filtrado,abierto|filtrado
234,filtrado,abierto|filtrado
235,filtrado,abierto|filtrado
236,filtrado,abierto|filtrado
237,filtrado,filtrado
238,filtrado,abierto|filtrado
239,filtrado,abierto|filtrado
240,filtrado,abierto|filtrado
241,filtrado,abierto|filtrado
242,filtrado,abierto|filtrado
243,filtrado,abierto|filtrado
244,filtrado,abierto|filtrado
245,filtrado,abierto|filtrado
246,filtrado,abierto|filtrado
247,filtrado,abierto|filtrado
248,filtrado,abierto|filtrado
249,filtrado,abierto|filtrado
250,filtrado,abierto|filtrado
251,filtrado,abierto|filtrado
252,filtrado,abierto|filtrado
253,filtrado,abierto|filtrado
254,filtrado,abierto|filtrado
255,filtrado,abierto|filtrado
256,filtrado,abierto|filtrado
257,None,abierto|filtrado
258,filtrado,abierto|filtrado
259,filtrado,abierto|filtrado
260,filtrado,abierto|filtrado
261,filtrado,abierto|filtrado
262,filtrado,abierto|filtrado
263,filtrado,abierto|filtrado
264,filtrado,abierto|filtrado
265,filtrado,abierto|filtrado
266,filtrado,abierto|filtrado
267,filtrado,abierto|filtrado
268,filtrado,abierto|filtrado
269,None,abierto|filtrado
270,filtrado,abierto|filtrado
271,filtrado,abierto|filtrado
272,filtrado,abierto|filtrado
273,filtrado,abierto|filtrado
274,filtrado,abierto|filtrado
275,filtrado,abierto|filtrado
276,None,abierto|filtrado
277,filtrado,abierto|filtrado
278,filtrado,abierto|filtrado
279,filtrado,abierto|filtrado
280,None,abierto|filtrado
281,filtrado,abierto|filtrado
282,filtrado,abierto|filtrado
283,filtrado,abierto|filtrado
284,filtrado,abierto|filtrado
285,filtrado,abierto|filtrado
286,filtrado,abierto|filtrado
287,filtrado,filtrado
288,filtrado,abierto|filtrado
289,filtrado,abierto|filtrado
290,filtrado,abierto|filtrado
291,filtrado,abierto|filtrado
292,filtrado,abierto|filtrado
293,filtrado,abierto|filtrado
294,None,abierto|filtrado
295,filtrado,abierto|filtrado
296,filtrado,abierto|filtrado
297,filtrado,abierto|filtrado
298,filtrado,abierto|filtrado
299,filtrado,abierto|filtrado
300,filtrado,abierto|filtrado
301,filtrado,abierto|filtrado
302,filtrado,abierto|filtrado
303,filtrado,abierto|filtrado
304,filtrado,abierto|filtrado
305,filtrado,abierto|filtrado
306,filtrado,abierto|filtrado
307,filtrado,abierto|filtrado
308,filtrado,abierto|filtrado
309,None,abierto|filtrado
310,filtrado,abierto|filtrado
311,filtrado,abierto|filtrado
312,filtrado,abierto|filtrado
313,filtrado,abierto|filtrado
314,filtrado,abierto|filtrado
315,filtrado,abierto|filtrado
316,filtrado,abierto|filtrado
317,filtrado,abierto|filtrado
318,filtrado,abierto|filtrado
319,filtrado,abierto|filtrado
320,filtrado,abierto|filtrado
321,filtrado,abierto|filtrado
322,None,abierto|filtrado
323,filtrado,abierto|filtrado
324,filtrado,abierto|filtrado
325,filtrado,abierto|filtrado
326,filtrado,abierto|filtrado
327,filtrado,abierto|filtrado
328,filtrado,abierto|filtrado
329,filtrado,abierto|filtrado
330,filtrado,abierto|filtrado
331,filtrado,abierto|filtrado
332,filtrado,abierto|filtrado
333,filtrado,abierto|filtrado
334,filtrado,abierto|filtrado
335,filtrado,abierto|filtrado
336,filtrado,abierto|filtrado
337,filtrado,abierto|filtrado
338,filtrado,abierto|filtrado
339,filtrado,abierto|filtrado
340,filtrado,abierto|filtrado
341,filtrado,abierto|filtrado
342,filtrado,abierto|filtrado
343,filtrado,abierto|filtrado
344,filtrado,abierto|filtrado
345,filtrado,abierto|filtrado
346,filtrado,abierto|filtrado
347,filtrado,abierto|filtrado
348,None,abierto|filtrado
349,filtrado,abierto|filtrado
350,filtrado,abierto|filtrado
351,filtrado,abierto|filtrado
352,filtrado,abierto|filtrado
353,filtrado,abierto|filtrado
354,filtrado,abierto|filtrado
355,filtrado,abierto|filtrado
356,filtrado,abierto|filtrado
357,filtrado,abierto|filtrado
358,filtrado,abierto|filtrado
359,filtrado,abierto|filtrado
360,filtrado,abierto|filtrado
361,filtrado,abierto|filtrado
362,filtrado,abierto|filtrado
363,filtrado,abierto|filtrado
364,filtrado,abierto|filtrado
365,filtrado,abierto|filtrado
366,filtrado,abierto|filtrado
367,filtrado,abierto|filtrado
368,filtrado,abierto|filtrado
369,filtrado,abierto|filtrado
370,filtrado,abierto|filtrado
371,filtrado,abierto|filtrado
